producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0805010196,08FRUV     ,328.84,123.23,128,37.47
0505010033,05CHAR     ,242.78,122.36,59,50.4
0301060016,03CARN     ,224.73,121.31,14,53.98
0803010056,08FRUV     ,371.4,114.66,216,30.87
0805010011,08FRUV     ,766.22,113.85,119,14.86
0502080043,05CHAR     ,273.38,113.08,36,41.36
0805010131,08FRUV     ,249.89,113.04,35,45.24
0502080039,05CHAR     ,322.0,111.04,40,34.48
0310020004,03CARN     ,254.22,110.61,29,43.51
0502080035,05CHAR     ,294.17,110.11,38,37.43
0505030011,05CHAR     ,205.86,109.98,31,53.42
0805010072,08FRUV     ,961.96,108.97,177,11.33
0803010008,08FRUV     ,213.79,108.49,61,50.75
0502080041,05CHAR     ,277.23,104.56,36,37.72
0502080042,05CHAR     ,314.38,102.53,38,32.61
0803010018,08FRUV     ,261.21,100.16,178,38.34
0505010004,05CHAR     ,1435.36,99.0,264,6.9
0509020002,05CHAR     ,201.13,98.39,36,48.92
0301060008,03CARN     ,122.95,97.95,7,79.67
0802040039,08FRUV     ,203.71,96.03,27,47.14
0805010063,08FRUV     ,200.3,94.38,66,47.12
0309040002,03CARN     ,113.19,89.91,14,79.43
0504030032,05CHAR     ,199.04,89.43,37,44.93
0802010028,08FRUV     ,231.47,83.14,17,35.92
0308050003,03CARN     ,129.03,80.38,21,62.3
0803010005,08FRUV     ,181.61,78.04,47,42.97
0802010031,08FRUV     ,222.88,77.65,69,34.84
0805010113,08FRUV     ,254.55,76.15,80,29.92
0508010001,05CHAR     ,54542.89,74.95,736,0.14
0805010038,08FRUV     ,332.06,74.59,34,22.46
0803010026,08FRUV     ,116.93,72.51,72,62.01
0302010025,03CARN     ,215.97,72.32,31,33.49
0805010013,08FRUV     ,513.8,69.22,132,13.47
0805010194,08FRUV     ,193.24,62.54,100,32.36
0805010195,08FRUV     ,179.43,59.18,95,32.98
0803010033,08FRUV     ,66.43,58.66,3,88.3
0802050004,08FRUV     ,201.83,58.48,44,28.97
0509100038,05CHAR     ,170.43,56.97,17,33.43
0508010002,05CHAR     ,35118.93,55.43,735,0.16
0509040010,05CHAR     ,149.4,55.43,22,37.1
0306010016,03CARN     ,137.21,52.65,32,38.37
0509040015,05CHAR     ,139.15,52.18,20,37.5
0309040012,03CARN     ,65.7,49.14,3,74.79
0509140009,05CHAR     ,92.87,47.7,6,51.36
0805010283,08FRUV     ,137.14,46.16,25,33.66
0805010282,08FRUV     ,118.74,45.8,22,38.57
0805010188,08FRUV     ,128.73,45.52,44,35.36
0505030046,05CHAR     ,75.66,45.44,13,60.06
0805010193,08FRUV     ,141.71,45.04,67,31.78
0509040013,05CHAR     ,111.09,44.77,16,40.3
0308040006,03CARN     ,91.1,43.89,2,48.18
0310020005,03CARN     ,51.26,43.34,8,84.55
0802010030,08FRUV     ,23242.75,40.61,734,0.17
0802010036,08FRUV     ,71.53,40.21,24,56.21
0803010004,08FRUV     ,85.87,38.44,35,44.77
