nombre,precio_bs,precio_usd,precio_raw,categoria_emporium,search_term,url,bcv_rate,scraped_at
PAPAS CRUSTISSIMO 115GR LIMON Y PIMIENTA,1406.33,3.4954,"Bs.1,406.33",08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=33639&search=papa,402.3343,2026-02-21T14:20:45.582018
AJO MCCORMICK 116GR ROSTIZADO CON TOMATE,1807.73,4.4931,"Bs.1,807.73",08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=19799&search=tomate,402.3343,2026-02-21T14:20:52.326484
BANDEJA TOMATE PERITA !500! GR,281.63,0.7,Bs.281.63,08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=28878&search=tomate,402.3343,2026-02-21T14:20:52.344549
PASSATA OSOLE 720ML TOMATE NATURAL,2209.08,5.4907,"Bs.2,209.08",08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=33830&search=tomate,402.3343,2026-02-21T14:20:52.363457
PASTA DE TOMATE EUREKA 500GR,1904.16,4.7328,"Bs.1,904.16",08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=7388&search=tomate,402.3343,2026-02-21T14:20:52.384491
PASTA DE TOMATE LAILA 200GR,466.7,1.16,Bs.466.70,08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=30800&search=tomate,402.3343,2026-02-21T14:20:52.402558
PASTA DE TOMATE PLANSUAREZ 200GR,862.95,2.1449,Bs.862.95,08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=29083&search=tomate,402.3343,2026-02-21T14:20:52.421531
PASTA DE TOMATE PLANSUAREZ 500GR,1744.56,4.3361,"Bs.1,744.56",08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=26755&search=tomate,402.3343,2026-02-21T14:20:52.440540
PASTA DE TOMATE TIQ FLORES 505GR,2177.47,5.4121,"Bs.2,177.47",08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=4587&search=tomate,402.3343,2026-02-21T14:20:52.458022
PURE DE TOMATE HEINZ 490GR,1585.82,3.9415,"Bs.1,585.82",08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=4645&search=tomate,402.3343,2026-02-21T14:20:52.478603
QUESO ANANKE 200 G DE CABRA TOMATE,2993.14,7.4394,"Bs.2,993.14",08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=9859&search=tomate,402.3343,2026-02-21T14:20:52.496573
QUESO CREMA BUFIKRIM 250 G C/TOMATE SEC,2607.34,6.4805,"Bs.2,607.34",08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=24450&search=tomate,402.3343,2026-02-21T14:20:52.514368
SALSA DE TOMATE EUREKA 397GR,939.63,2.3354,Bs.939.63,08FRUV,tomate,https://www.plansuarez.com/index.php?route=product/product&product_id=29985&search=tomate,402.3343,2026-02-21T14:20:52.533517
