competidor,categoria,nombre_comp,nombre_comp_norm,nombre_emporium,nombre_emporium_norm,match_score,precio_comp_raw_usd,precio_comp_norm_usd,precio_emporium_usd,price_adjustment,ratio,search_term
plansuarez,05CHAR,BANDEJA MORTADELA RICCI TAPARA !300! GR,bandeja mortadela ricci tapara !300! gr,MORTADELA RICCI TIPO TAPARA KG,mortadela ricci tipo tapara kg,69.56521739130434,4.892,16.3067,15.9499,scaled 0.300kg→1kg,1.0224,mortadela
plansuarez,03CARN,BANDEJA CHULETA AHUMADA !500! G,bandeja chuleta ahumada !500! g,CHULETA AHUMADA KG,chuleta ahumada kg,69.38775510204081,7.2659,14.5318,9.99,scaled 0.500kg→1kg,1.4546,chuleta
plansuarez,05CHAR,SALCHICHAS ALIMEX 225GR VIENA,salchichas alimex viena,SALCHICHA HERMO TIPO VIENA 450GR,salchicha hermo tipo viena,69.38775510204081,3.6501,16.2227,5.7328,scaled 0.225kg→1kg (emp=0.450kg),2.8298,salchicha
plansuarez,05CHAR,BANDEJA JAMON PLUMROSE PIERNA !300! G,bandeja jamon plumrose pierna !300! g,JAMON PIERNA PLUMROSE KG,jamon pierna plumrose kg,68.85245901639344,4.5217,15.0723,13.75,scaled 0.300kg→1kg,1.0962,jamon
plansuarez,03CARN,PERNIL CON HUESO X KG,pernil con hueso x kg,LAGARTO CON HUESO KG,lagarto con hueso kg,68.29268292682926,9.7143,9.7143,8.49,no_adjustment,1.1442,pernil
plansuarez,05CHAR,SALCHICHAS PLUMROSE 400GR POLACA DELI,salchichas plumrose polaca deli,SALCHICHA LPRADO POLLO 440GR,salchicha lprado pollo,67.9245283018868,9.9273,9.9273,4.3017,no_adjustment,2.3078,salchicha
plansuarez,05CHAR,BANDEJA QUESO MUNSTER PAISA !300! G,bandeja queso munster paisa !300! g,QUESO MUSTER PAISA,queso muster paisa,67.9245283018868,9.1288,30.4293,25.5517,scaled 0.300kg→1kg,1.1909,queso paisa
plansuarez,03CARN,PECHUGA PUNTA DE MONTE DE POLLO 800 G,pechuga punta de monte de pollo,FILET DE PECHUGA POLLO KG,filet de pechuga pollo kg,67.85714285714286,8.7078,10.8848,9.9899,scaled 0.800kg→1kg,1.0896,pechuga pollo
plansuarez,05CHAR,PALETA DE CORDERO EL REMANZO X KG,paleta de cordero el remanzo x kg,PALETA DE CERDO VIGOR ESP. KG,paleta de cerdo vigor esp. kg,67.74193548387098,16.2864,16.2864,7.2328,no_adjustment,2.2518,paleta
plansuarez,03CARN,MILANESA DE POLLO X KG PLANSUAREZ,milanesa de pollo x kg plansuarez,MILANESA DE RES KG,milanesa de res kg,66.66666666666667,7.5,7.5,13.99,no_adjustment,0.5361,milanesa
plansuarez,08FRUV,AJO INDIAN 65GR PLUS,ajo indian plus,AJO EL ANDINITO 100GR,ajo el andinito,66.66666666666667,2.7197,2.7197,1.75,no_adjustment,1.5541,ajo
plansuarez,05CHAR,SALCHICHA OSCARMAYER CON TOCINETA,salchicha oscarmayer con tocineta,SALCHICHA C TOVAR POLACA 5 UND,salchicha c tovar polaca,66.66666666666667,9.2842,9.2842,6.8535,no_adjustment,1.3547,salchicha
plansuarez,05CHAR,QUESO AMARILLO PALMIRA X KG EDAM,queso amarillo palmira x kg edam,QUESO ESPECIAL PALMIRA KG,queso especial palmira kg,66.66666666666667,17.0133,17.0133,14.55,no_adjustment,1.1693,queso amarillo
plansuarez,03CARN,BANDEJA RINONADA DE COCHINO !500! GR,bandeja rinonada de cochino !500! gr,RIÑONADA COCHINO KG,rinonada cochino kg,65.45454545454545,1.45,2.9,2.99,scaled 0.500kg→1kg,0.9699,cochino
plansuarez,05CHAR,SALCHICHAS JUMBO OSCAR MAYER 330 G,salchichas jumbo oscar mayer,JAMON OSCAR MAYER PIERNA KG,jamon oscar mayer pierna kg,65.45454545454545,9.7717,29.6112,15.25,scaled 0.330kg→1kg,1.9417,salchicha
plansuarez,08FRUV,BANDEJA MANZANA ROJA !300! G,bandeja manzana roja !300! g,MANZANA ROYAL GALA KG,manzana royal gala kg,65.3061224489796,2.097,6.99,6.4901,scaled 0.300kg→1kg,1.077,manzana
plansuarez,08FRUV,BANDEJA TOMATE PERITA !500! GR,bandeja tomate perita !500! gr,TOMATE PERITA KG,tomate perita kg,65.21739130434783,0.7,1.4,1.09,scaled 0.500kg→1kg,1.2844,tomate
plansuarez,08FRUV,BANDEJA PIMENTON !300! G,bandeja pimenton !300! g,MELON EN BANDEJA,melon en bandeja,65.0,0.8,2.6667,1.99,scaled 0.300kg→1kg,1.34,pimenton
