producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0302010001,03CARN     ,8.79,5.85,1,66.55
0502040017,05CHAR     ,15.0,5.71,3,38.07
0505030033,05CHAR     ,13.85,5.44,1,39.28
0806010014,08FRUV     ,10.68,4.93,4,46.16
0509130031,05CHAR     ,10.02,4.83,2,48.2
0309020001,03CARN     ,12.85,4.55,1,35.41
0309030009,03CARN     ,2762.98,4.51,158,0.16
0505030039,05CHAR     ,11.32,4.39,1,38.78
0803010057,08FRUV     ,10.9,4.36,5,40.0
0302010022,03CARN     ,6.05,4.29,1,70.91
0302010040,03CARN     ,6.13,4.1,1,66.88
0805020005,08FRUV     ,8.59,3.67,2,42.72
0805010241,08FRUV     ,9.45,3.6,1,38.1
0306010011,03CARN     ,8.24,3.42,2,41.5
0310020013,03CARN     ,6.28,3.04,1,48.41
0805010103,08FRUV     ,4.6,2.79,1,60.65
0502040021,05CHAR     ,5.38,2.49,1,46.28
0509130024,05CHAR     ,11.91,2.18,1,18.3
0802030002,08FRUV     ,2.33,2.03,2,87.12
0504050007,05CHAR     ,9.96,1.99,1,19.98
0805010004,08FRUV     ,797.78,1.86,163,0.23
0805010244,08FRUV     ,3.83,1.82,1,47.52
0803010006,08FRUV     ,1.71,1.71,23,100.0
0802010041,08FRUV     ,3.49,1.42,1,40.69
0802010016,08FRUV     ,166.48,0.42,14,0.25
0802010021,08FRUV     ,359.05,0.36,36,0.1
0502050007,05CHAR     ,85.55,0.1,18,0.12
0802010004,08FRUV     ,44.28,0.04,4,0.09
0802010011,08FRUV     ,10.95,0.03,3,0.27
