producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0801010031,08FRUV     ,3124.25,2057.38,541,65.85
0503020003,05CHAR     ,4447.62,2056.26,411,46.23
0805010062,08FRUV     ,3935.5,2046.31,479,52.0
0310010006,03CARN     ,4328.27,2029.75,407,46.9
0502080105,05CHAR     ,4822.6,2023.34,337,41.96
0507020006,05CHAR     ,4272.65,1999.95,213,46.81
0805020017,08FRUV     ,3436.78,1988.53,466,57.86
0805010007,08FRUV     ,3360.75,1975.23,233,58.77
0308050010,03CARN     ,3051.77,1974.96,347,64.72
0803010024,08FRUV     ,3405.18,1954.72,673,57.4
0801010032,08FRUV     ,2965.65,1946.36,476,65.63
0801010021,08FRUV     ,3075.99,1940.83,531,63.1
0805010026,08FRUV     ,3958.95,1923.29,500,48.58
0805010025,08FRUV     ,4111.18,1910.23,474,46.46
0805010169,08FRUV     ,3575.88,1904.2,341,53.25
0801010017,08FRUV     ,2808.89,1874.56,208,66.74
0805010275,08FRUV     ,3762.85,1865.27,511,49.57
0805020034,08FRUV     ,3980.38,1863.04,251,46.81
0805010272,08FRUV     ,4014.81,1862.63,467,46.39
0805010022,08FRUV     ,4233.06,1861.61,444,43.98
0805010281,08FRUV     ,3730.68,1860.16,544,49.86
0802040038,08FRUV     ,3314.52,1854.34,396,55.95
0301020006,03CARN     ,2800.2,1850.95,20,66.1
0805010290,08FRUV     ,3326.93,1839.04,445,55.28
0401070006,05CHAR     ,3872.68,1834.42,437,47.37
0803010031,08FRUV     ,3514.88,1814.79,569,51.63
0505030018,05CHAR     ,3264.72,1770.97,291,54.25
0805010071,08FRUV     ,3956.61,1767.64,389,44.68
0802040028,08FRUV     ,2885.71,1753.16,275,60.75
0502080081,05CHAR     ,3451.9,1729.79,407,50.11
0805010065,08FRUV     ,4113.97,1704.63,351,41.44
0505010020,05CHAR     ,3338.45,1698.58,359,50.88
0805010258,08FRUV     ,3782.45,1693.52,293,44.77
0301020012,03CARN     ,6691.4,1691.04,238,25.27
0805010265,08FRUV     ,3741.12,1668.1,261,44.59
0302010046,03CARN     ,3203.95,1648.28,369,51.45
0801010023,08FRUV     ,2585.22,1643.87,259,63.59
0805010276,08FRUV     ,3503.0,1639.84,466,46.81
0502080104,05CHAR     ,3877.66,1639.43,324,42.28
0802010017,08FRUV     ,33743.5,1627.57,341,4.82
0805010134,08FRUV     ,3684.41,1618.49,552,43.93
0302010043,03CARN     ,3150.1,1617.08,369,51.33
0805010190,08FRUV     ,3418.54,1605.65,524,46.97
0309040006,03CARN     ,2101.36,1592.95,212,75.81
0505010019,05CHAR     ,3263.81,1586.39,308,48.61
0805010266,08FRUV     ,3477.32,1571.39,464,45.19
0502080101,05CHAR     ,3050.56,1568.68,265,51.42
0505030037,05CHAR     ,3124.02,1558.66,349,49.89
0805010104,08FRUV     ,3075.49,1549.78,526,50.39
0805010109,08FRUV     ,3399.34,1549.43,306,45.58
0801010041,08FRUV     ,2860.26,1525.0,464,53.32
0802040014,08FRUV     ,2165.57,1524.75,314,70.41
0501040014,05CHAR     ,3116.69,1510.52,254,48.47
0805020027,08FRUV     ,2962.6,1501.86,443,50.69
0310020017,03CARN     ,3114.96,1496.24,365,48.03
0803010023,08FRUV     ,2855.35,1491.16,681,52.22
0509160029,05CHAR     ,3033.29,1487.52,218,49.04
0506030025,05CHAR     ,3168.8,1487.19,490,46.93
0306010013,03CARN     ,2981.98,1481.22,336,49.67
0802010018,08FRUV     ,2954.47,1474.64,462,49.91
0805010253,08FRUV     ,2992.35,1462.53,293,48.88
0301060010,03CARN     ,2800.32,1459.95,147,52.14
0803010003,08FRUV     ,3113.66,1446.32,708,46.45
0805010029,08FRUV     ,3196.29,1432.66,198,44.82
0310020015,03CARN     ,3160.51,1428.15,401,45.19
0504030046,05CHAR     ,2628.3,1398.25,206,53.2
0302010042,03CARN     ,2664.03,1397.98,329,52.48
0805010125,08FRUV     ,3190.54,1383.91,554,43.38
0505010018,05CHAR     ,2832.64,1380.32,420,48.73
0805010036,08FRUV     ,2809.44,1368.66,289,48.72
0301060015,03CARN     ,2537.21,1364.2,178,53.77
0507010003,05CHAR     ,3052.86,1356.21,268,44.42
0805010238,08FRUV     ,3020.27,1350.42,239,44.71
0805010052,08FRUV     ,3069.59,1339.18,347,43.63
0805010051,08FRUV     ,3072.16,1335.33,338,43.47
0306010005,03CARN     ,2462.34,1308.53,313,53.14
0502040024,05CHAR     ,2540.8,1293.36,326,50.9
0502040034,05CHAR     ,2547.24,1290.61,348,50.67
0310020018,03CARN     ,2337.96,1286.15,250,55.01
0805010271,08FRUV     ,2792.17,1263.69,493,45.26
0805010018,08FRUV     ,2861.66,1258.21,380,43.97
0504030045,05CHAR     ,3026.4,1249.99,176,41.3
0806010003,08FRUV     ,2440.13,1244.98,549,51.02
0803010017,08FRUV     ,2415.25,1240.12,707,51.35
0805010274,08FRUV     ,2862.84,1238.84,501,43.27
0802040005,08FRUV     ,1672.08,1234.32,272,73.82
0310020016,03CARN     ,2774.95,1228.46,369,44.27
0802040041,08FRUV     ,1840.82,1219.3,313,66.24
0805010165,08FRUV     ,2247.72,1213.3,405,53.98
0503020049,05CHAR     ,4537.31,1206.89,123,26.6
0505030043,05CHAR     ,2214.43,1194.75,171,53.95
0805010249,08FRUV     ,2587.55,1183.74,220,45.75
0301060003,03CARN     ,2115.24,1149.22,119,54.33
0805010163,08FRUV     ,2136.06,1138.57,400,53.3
0803010001,08FRUV     ,1990.53,1126.21,509,56.58
0506030023,05CHAR     ,2204.46,1121.83,391,50.89
0507020026,05CHAR     ,2726.37,1109.11,251,40.68
0805010252,08FRUV     ,2266.94,1106.51,294,48.81
0502080094,03CARN     ,2010.78,1103.01,299,54.85
0805020020,08FRUV     ,1575.83,1097.99,104,69.68
0805010161,08FRUV     ,2025.73,1094.53,371,54.03
0504030049,05CHAR     ,2418.44,1089.55,226,45.05
0805020043,08FRUV     ,1384.65,1086.83,300,78.49
0509130032,05CHAR     ,2221.65,1086.0,247,48.88
0507020020,05CHAR     ,2153.73,1083.29,244,50.3
0802010042,08FRUV     ,2284.06,1078.8,193,47.23
0302010038,03CARN     ,1930.77,1068.58,222,55.34
0301060012,03CARN     ,2092.83,1031.61,111,49.29
0802020002,08FRUV     ,1556.62,1029.24,590,66.12
0805020003,08FRUV     ,1733.98,1028.49,246,59.31
0504040036,05CHAR     ,2153.96,1020.06,205,47.36
0805020014,08FRUV     ,1808.24,1008.28,232,55.76
0505010031,05CHAR     ,2004.19,1002.42,342,50.02
0302010030,03CARN     ,1890.19,973.01,222,51.48
0507020002,05CHAR     ,1907.62,953.18,112,49.97
0509010014,05CHAR     ,1895.02,949.26,225,50.09
0502080031,05CHAR     ,1962.82,948.69,283,48.33
0802040037,08FRUV     ,1444.87,938.46,254,64.95
0507020027,05CHAR     ,1639.84,920.14,121,56.11
0302010032,03CARN     ,1783.73,911.06,200,51.08
0507010007,05CHAR     ,2040.18,904.76,178,44.35
0805010257,08FRUV     ,2057.22,904.23,177,43.95
0509010013,05CHAR     ,1893.5,901.67,234,47.62
0806010002,08FRUV     ,49527.92,900.82,735,1.82
0302010029,03CARN     ,1756.55,899.68,210,51.22
0504020024,05CHAR     ,2006.56,896.36,140,44.67
0805010287,08FRUV     ,1958.33,888.99,373,45.4
0805020010,08FRUV     ,1622.12,877.16,140,54.07
0503020045,05CHAR     ,2077.66,875.28,89,42.13
